('https://image1.ljcdn.com/440100-inspection/e7d76a58-1ce0-4bc8-8f13-8e6e7d84eb19.jpg.296x216.jpg', '荔园小区 高层南向三房 精装修', '荔园小区  | 3室2厅 | 85.97平米 | 南 | 精装 | 无电梯', '高楼层(共8层)1995年建塔楼  -  区府', '232万', '单价26987元/平米')
('https://image1.ljcdn.com/440100-inspection/bf890d5f-7003-499c-8961-e0ca0dfc26a3.jpg.296x216.jpg', '中海誉城 高层两房 户型好 采光好 通风好', '中海誉城南苑  | 2室1厅 | 79.89平米 | 南 北 | 精装', '高楼层(共33层)2015年建塔楼  -  科学城', '215万', '单价26913元/平米')
('', '中海誉城北苑 3室2厅 390万', '中海誉城北苑  | 3室2厅 | 131.07平米 | 南 | 其他 | 有电梯', '低楼层(共27层)塔楼  -  科学城', '390万', '单价29756元/平米')
('', '文船生活区新东区 3室2厅 210万', '文船生活区新东区  | 3室2厅 | 79.17平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1999年建板楼  -  区府', '210万', '单价26526元/平米')
('https://image1.ljcdn.com/440100-inspection/e78bbeec-a076-45ec-b824-fd1026341444.jpg.296x216.jpg', '骏鸿苑 3室2厅 290万', '骏鸿苑  | 3室2厅 | 91.02平米 | 南 | 简装', '低楼层(共8层)塔楼  -  区府', '290万', '单价31862元/平米')
('', '龙光峰景华庭 3室2厅 265万', '龙光峰景华庭  | 3室2厅 | 90.24平米 | 西南 | 其他 | 有电梯', '低楼层(共18层)2009年建塔楼  -  科学城', '265万', '单价29367元/平米')
('', '宏康花园四期康慧苑 3室2厅 250万', '宏康花园四期康慧苑  | 3室2厅 | 113平米 | 南 | 其他 | 无电梯', '低楼层(共7层)板楼  -  开发东区', '250万', '单价22124元/平米')
('https://image1.ljcdn.com/440100-inspection/d273408a-871d-45b7-9139-8dfb553499ea.jpg.296x216.jpg', '泰景花园东城华庭  精装两房 格局方正', '泰景花园东城华庭  | 2室2厅 | 78平米 | 北 | 精装 | 有电梯', '中楼层(共27层)2012年建塔楼  -  区府', '305万', '单价39103元/平米')
('', '怡园小区 安静舒适大三房', '怡园小区  | 3室2厅 | 80平米 | 南 | 简装 | 无电梯', '高楼层(共8层)1992年建塔楼  -  区府', '300万', '单价37500元/平米')
('https://image1.ljcdn.com/440100-inspection/8a739634-fd80-47b6-9ddc-af5edcbe6cb1.jpg.296x216.jpg', '怡港花园 中楼层三房 方正实用 繁华便利', '怡港花园  | 3室2厅 | 106平米 | 东南 | 精装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  区府', '318万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/a579d103-f861-4e84-8cf8-48768e080995.jpg.296x216.jpg', '金港花园 实用大两房 配套成熟', '金港花园  | 2室2厅 | 101.99平米 | 东南 | 精装 | 有电梯', '低楼层(共24层)2000年建塔楼  -  区府', '362万', '单价35494元/平米')
('https://image1.ljcdn.com/440100-inspection/a2fa0633-f391-493e-b51a-8e63e4257aa4.jpg.296x216.jpg', '怡港花园，大三房 格局方正三个阳台', '怡港花园  | 3室2厅 | 130平米 | 西 | 简装 | 有电梯', '中楼层(共17层)1999年建塔楼  -  区府', '535万', '单价41154元/平米')
('https://image1.ljcdn.com/440100-inspection/ed7fc5b1-1ea8-4e99-a100-4b31db69e6df.jpg.296x216.jpg', '金碧世纪花园 2房', '金碧世纪花园  | 2室1厅 | 65平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2004年建塔楼  -  区府', '280万', '单价43077元/平米')
('https://image1.ljcdn.com/440100-inspection/8d50867d-a0c7-4b28-91af-430cb8572a1f.jpg.296x216.jpg', '金碧世纪花园 2房', '金碧世纪花园  | 2室1厅 | 65平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2004年建塔楼  -  区府', '240万', '单价36924元/平米')
('https://image1.ljcdn.com/440100-inspection/4769fb34-43b9-4655-bed1-33273ddd2971.jpg.296x216.jpg', '金逸雅居 高层户型 三房', '金逸雅居  | 3室2厅 | 122.07平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2006年建塔楼  -  区府', '550万', '单价45057元/平米')
('https://image1.ljcdn.com/440100-inspection/dbbb0b5f-9d44-4957-bfcd-d37bd9a38032.jpg.296x216.jpg', '金碧世纪花园 户型方正 正望花园', '金碧世纪花园  | 2室2厅 | 72平米 | 北 | 精装 | 有电梯', '低楼层(共17层)2004年建塔楼  -  区府', '285万', '单价39584元/平米')
('https://image1.ljcdn.com/440100-inspection/e808a109-f89e-4d34-a689-3f4c7cfb363b.jpg.296x216.jpg', '鱼木小区 南向三房 户型方正 交通便利', '鱼木小区  | 3室2厅 | 80.04平米 | 南 | 简装 | 无电梯', '中楼层(共9层)1993年建塔楼  -  区府', '280万', '单价34983元/平米')
('https://image1.ljcdn.com/440100-inspection/c1446229-ff97-404b-bb87-fbe25545d0e4.jpg.296x216.jpg', '越秀岭南山畔 精致三房 地铁*', '越秀岭南山畔  | 3室2厅 | 170.18平米 | 东南 | 其他 | 有电梯', '低楼层(共32层)2014年建塔楼  -  科学城', '575万', '单价33788元/平米')
('https://image1.ljcdn.com/440100-inspection/3f08ed77-b0fa-4ab1-b976-bfbe2714c6a9.jpg.296x216.jpg', '东城华庭 南向大三房 户型方正', '泰景花园东城华庭  | 3室2厅 | 125平米 | 南 | 精装 | 有电梯', '中楼层(共27层)2012年建塔楼  -  区府', '510万', '单价40800元/平米')
