('https://image1.ljcdn.com/440100-inspection/5c157d5b-f36a-4697-9ea4-009fa6a0102d.JPG.296x216.jpg', '鸿福花园 3室2厅 200万', '鸿福花园  | 3室2厅 | 95平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)1996年建塔楼  -  市桥', '200万', '单价21053元/平米')
('https://image1.ljcdn.com/440100-inspection/fd21fd17-3625-48fc-a1a9-60b5c66352cb.jpg.296x216.jpg', '越秀可逸阳光 3室2厅 340万', '越秀可逸阳光  | 3室2厅 | 107.13平米 | 南 | 精装 | 有电梯', '高楼层(共13层)2013年建塔楼  -  沙湾', '340万', '单价31738元/平米')
('https://image1.ljcdn.com/440100-inspection/b05e5c2a-8e7e-4db5-8194-cfc4c6ccf76f.jpg.296x216.jpg', '尚东尚筑  顶楼复式  交通方便', '尚东尚筑  | 4室2厅 | 91.75平米 | 北 | 精装 | 有电梯', '高楼层(共18层)2008年建塔楼  -  市桥东', '350万', '单价38148元/平米')
('https://image1.ljcdn.com/440100-inspection/9e63b7c6-79bb-4fcd-8967-f580c4547551.jpg.296x216.jpg', '东怡新区 东景园 电梯房 中等楼层 格局方正', '东怡新区东景园  | 3室2厅 | 100.73平米 | 东 | 简装 | 有电梯', '中楼层(共9层)2000年建塔楼  -  市桥东', '310万', '单价30776元/平米')
('https://image1.ljcdn.com/440100-inspection/3f8282e8-3c67-43e4-9054-5b8b53c2720e.jpg.296x216.jpg', '锦官城 高层三房诚售', '雅居乐锦官城雍容南台  | 3室2厅 | 98.25平米 | 东北 | 其他 | 有电梯', '高楼层(共15层)2011年建塔楼  -  沙湾', '285万', '单价29008元/平米')
('https://image1.ljcdn.com/440100-inspection/85bec090-34db-405e-9a2d-d4502fe28566.jpg.296x216.jpg', '君华御府复式单位 南北对流', '君华香柏御府  | 4室2厅 | 76.67平米 | 南 北 | 其他', '高楼层(共32层)塔楼  -  沙湾', '300万', '单价39129元/平米')
('https://image1.ljcdn.com/440100-inspection/c0e87f66-9e24-4888-8030-d81ea86f7cf8.JPG.296x216.jpg', '南奥钟村站 实用三房 采光佳，出入便捷', '南国奥林匹克花园北奥二路  | 3室2厅 | 101平米 | 南 | 其他', '高楼层(共6层)2006年建塔楼  -  汉溪', '360万', '单价35644元/平米')
('https://image1.ljcdn.com/440100-inspection/233bceb3-aab3-46e6-8c7b-2b7408428145.JPG.296x216.jpg', '鸿城花园  高楼层  装修保养好', '鸿城花园  | 3室2厅 | 100.9平米 | 东南 | 简装 | 有电梯', '中楼层(共28层)2000年建塔楼  -  市桥', '265万', '单价26264元/平米')
('https://image1.ljcdn.com/440100-inspection/09539e9e-4383-49a3-85c8-101d36c2bc30.JPG.296x216.jpg', '锦绣生态园趣园 2室1厅 205万', '锦绣生态园趣园  | 2室1厅 | 80.7平米 | 西南 | 简装 | 无电梯', '中楼层(共6层)2005年建塔楼  -  钟村', '205万', '单价25403元/平米')
('https://image1.ljcdn.com/440100-inspection/84eedde7-992e-4571-9811-ab7c43edd7e6.JPG.296x216.jpg', '广州雅居乐花园剑桥郡 3室2厅 520万', '广州雅居乐花园剑桥郡  | 3室2厅 | 119平米 | 东南 | 精装 | 有电梯', '中楼层(共30层)2010年建塔楼  -  雅居乐', '520万', '单价43698元/平米')
('https://image1.ljcdn.com/440100-inspection/7017a221-862b-4d1a-b129-a80e8ddccea6.JPG.296x216.jpg', '广州雅居乐十年小雅 西南向 温馨三房 产权清晰', '广州雅居乐花园十年小雅  | 3室2厅 | 97.42平米 | 西南 | 精装 | 有电梯', '高楼层(共33层)2010年建塔楼  -  雅居乐', '405万', '单价41573元/平米')
('https://image1.ljcdn.com/440100-inspection/c6cc2c03-3461-47d3-b6c3-7913ab81b0a5.JPG.296x216.jpg', '南国奥林匹克花园卡萨布兰卡 2室2厅 300万', '南国奥林匹克花园卡萨布兰卡  | 2室2厅 | 88.3平米 | 北 | 简装 | 无电梯', '中楼层(共5层)2006年建板楼  -  汉溪', '300万', '单价33976元/平米')
('https://image1.ljcdn.com/440100-inspection/445a7527-d058-4855-8f0e-e284fbd2862d.jpg.296x216.jpg', '祈福新村青怡居 出入方便，近市场', '祈福新村青怡居  | 3室2厅 | 96.6平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1995年建板楼  -  祈福', '300万', '单价31056元/平米')
